Knight,Sandor “the Hound” Clegane,Mace,Mace,Defeated in nameday tournament for Joffrey Baratheon,King’s Landing,Unknown,No Second Allegiance,Background Extra
Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Axe,Axe,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,No Second Allegiance,Background Extra
Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Hands,Hands,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Bronn,Arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Bronn,Knife,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Fire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of King’s Landing soldier,Stannis Baratheon,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,No Second Allegiance,Background Extra
Baratheon of King’s Landing soldier,Stannis Baratheon,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Boulder,Crushing,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Boulder,Crushing,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,No Second Allegiance,Background Extra
Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Tyrion Lannister,Axe,Axe,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Unknown,Unknown,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of King’s Landing soldier,Stannis Baratheon,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,No Second Allegiance,Background Extra
Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Bludgeon,Bludgeon,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,No Second Allegiance,Background Extra
Baratheon of King’s Landing soldier,Stannis Baratheon,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,No Second Allegiance,Background Extra
Mandon Moore,Podrick Payne,Spear,Polearm,Attempted to kill Tyrion Lannister during the Battle of Blackwater,King’s Landing,House Moore,Kingsguard,Minor Character
Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Unknown,Unknown,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Loras Tyrell,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Loras Tyrell,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Loras Tyrell,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Lannister soldier,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Loras Tyrell,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Stark soldier,Brienne of Tarth,Sword,Blade,Found Brienne transporting Jaime Lannister,Unknown,House Stark,No Second Allegiance,Background Extra
Stark soldier,Brienne of Tarth,Sword,Blade,Found Brienne transporting Jaime Lannister,Unknown,House Stark,No Second Allegiance,Background Extra
Stark soldier,Brienne of Tarth,Sword,Blade,Found Brienne transporting Jaime Lannister,Unknown,House Stark,No Second Allegiance,Background Extra
Maester Luwin,Osha,Knife,Blade,Mercy killed by Osha after being stabbed in the stomach with a spear by Dagmer,Winterfell,House Stark,No Second Allegiance,Secondary Major
Pyat Pree,Daenerys Targaryen,Dragonfire,Animal,Tried to lock Daenerys away to fuel his magic,Qarth,Warlocks of Qarth,The Thirteen,Secondary Major
Qhorin Halfhand,Jon Snow,Sword (Longclaw),Blade,Part of plan to make the wildlings trust Jon Snow,Beyond the Wall,Night’s Watch,No Second Allegiance,Secondary Major
Xaro Xhoan Daxos,Daenerys Targaryen,Sealed into vault,Other,Betrayed Daenerys to declare himself king of Qarth,Qarth,The Thirteen,No Second Allegiance,Secondary Major
Doreah,Daenerys Targaryen,Sealed into vault,Other,Betrayed Daenerys to help Xaro Xhoan Daxos steal the dragons,Qarth,House Targaryen,The Thirteen,Secondary Major
